YR,Plot,Strains,MG,PD,Rep,Irr,FinalCFU,LogCFU,AUDPC,LogAUDPC,YldKgHa
2015,148,LS980358,4,2,1,Nonirr,9400.00,3.97,5000.00,3.70,2158.37
2015,211,DS97949,4,2,2,Nonirr,0.00,0.00,100.00,2.00,1402.24
2015,212,DS97949,4,2,2,Irr,400.00,2.60,200.00,2.30,2006.31
2015,215,Pharaoh,4,2,2,Irr,6400.00,3.81,3600.00,3.56,3692.36
2015,216,Pharaoh,4,2,2,Nonirr,5400.00,3.73,2900.00,3.46,3343.57
2015,217,60561121,4,2,2,Irr,0.00,0.00,400.00,2.60,3186.09
2015,218,60561121,4,2,2,Nonirr,0.00,0.00,600.00,2.78,3362.68
2015,221,60561331,5,2,2,Nonirr,7200.00,3.86,3700.00,3.57,3929.47
2015,222,60561331,5,2,2,Irr,5400.00,3.73,5200.00,3.72,3743.62
2015,239,LS980358,4,2,2,Irr,13200.00,4.12,6800.00,3.83,2082.21
2015,240,LS980358,4,2,2,Nonirr,2200.00,3.34,1900.00,3.28,2419.27
2015,241,6070242,4,2,2,Irr,4000.00,3.60,2400.00,3.38,2071.00
2015,242,6070242,4,2,2,Nonirr,12000.00,4.08,6000.00,3.78,1931.08
2015,243,DT974290,4,2,2,Nonirr,1200.00,3.08,4700.00,3.67,3418.88
2015,244,DT974290,4,2,2,Irr,2000.00,3.30,1000.00,3.00,3833.46
2015,247,DS880,5,2,2,Nonirr,2000.00,3.30,1700.00,3.23,3226.52
2015,248,DS880,5,2,2,Irr,1400.00,3.15,4900.00,3.69,2930.62
2015,301,60561121,4,2,3,Irr,0.00,0.00,800.00,2.90,3237.81
2015,302,60561121,4,2,3,Nonirr,2000.00,3.30,1600.00,3.20,2561.72
2015,305,Pharaoh,4,2,3,Irr,21600.00,4.33,11200.00,4.05,2665.52
2015,306,Pharaoh,4,2,3,Nonirr,2200.00,3.34,1900.00,3.28,2400.52
2015,307,LS980358,4,2,3,Irr,1600.00,3.20,1200.00,3.08,2516.14
2015,308,LS980358,4,2,3,Nonirr,44400.00,4.65,22200.00,4.35,2122.39
2015,309,DS880,5,2,3,Irr,200.00,2.30,700.00,2.85,3343.57
2015,310,DS880,5,2,3,Nonirr,9200.00,3.96,6000.00,3.78,2502.09
2015,313,DS97949,4,2,3,Nonirr,14200.00,4.15,7500.00,3.88,1109.48
2015,314,DS97949,4,2,3,Irr,25400.00,4.40,12800.00,4.11,2446.75
2015,319,6070242,4,2,3,Irr,8400.00,3.92,4200.00,3.62,1850.35
2015,320,6070242,4,2,3,Nonirr,54200.00,4.73,27100.00,4.43,1422.53
2015,333,DT974290,4,2,3,Nonirr,400.00,2.60,2400.00,3.38,3440.52
2015,334,DT974290,4,2,3,Irr,200.00,2.30,2800.00,3.45,4249.32
2015,339,60561331,5,2,3,Irr,400.00,2.60,800.00,2.90,3567.15
2015,340,60561331,5,2,3,Nonirr,7800.00,3.89,4500.00,3.65,3373.71
2015,103,LS980358,4,3,1,Nonirr,13000.00,4.11,6600.00,3.82,2337.11
2015,104,LS980358,4,3,1,Irr,3200.00,3.51,6600.00,3.82,2783.46
2015,119,DS97949,4,3,1,Irr,2000.00,3.30,19600.00,4.29,3540.49
2015,120,DS97949,4,3,1,Nonirr,400.00,2.60,31700.00,4.50,.
2015,123,6070242,4,3,1,Nonirr,52600.00,4.72,27800.00,4.44,2362.05
2015,124,6070242,4,3,1,Irr,12000.00,4.08,38300.00,4.58,2919.42
2015,125,60561121,4,3,1,Nonirr,200.00,2.30,200.00,2.30,2756.88
2015,126,60561121,4,3,1,Irr,400.00,2.60,7600.00,3.88,2923.48
2015,127,Pharaoh,4,3,1,Irr,400.00,2.60,3400.00,3.53,3177.32
2015,128,Pharaoh,4,3,1,Nonirr,20000.00,4.30,38200.00,4.58,3223.87
2015,129,DS880,5,3,1,Irr,0.00,0.00,900.00,2.95,4245.93
2015,130,DS880,5,3,1,Nonirr,400.00,2.60,1000.00,3.00,3739.03
2015,135,DT974290,4,3,1,Nonirr,600.00,2.78,5100.00,3.71,2811.10
2015,136,DT974290,4,3,1,Irr,600.00,2.78,900.00,2.95,3049.29
2015,145,60561331,5,3,1,Irr,200.00,2.30,300.00,2.48,3289.46
2015,146,60561331,5,3,1,Nonirr,0.00,0.00,0.00,#NUM!,2646.21
2015,201,Pharaoh,4,3,2,Irr,400.00,2.60,2200.00,3.34,3504.70
2015,202,Pharaoh,4,3,2,Nonirr,400.00,2.60,700.00,2.85,3095.16
2015,205,LS980358,4,3,2,Nonirr,400.00,2.60,200.00,2.30,2351.61
2015,206,LS980358,4,3,2,Irr,48800.00,4.69,24400.00,4.39,2799.49
